SearchName,PreferredFoot
Marco Fabian~Marco Fabián,Right
Valentin Stocker,Left
Adil Rami,Right
Aurelien Chedjou~Aurélien Chedjou,Right
Bruno,Left
Fernando,Right
Jonathan Biabiany,Right
Leonardo Bonucci,Right
Azpilicueta,Right
Omer Toprak~Ömer Toprak,Right
Ron-Robert Zieler,Right
Sven Ulreich,Right
Keisuke Honda,Left
Matt Phillips,Right
Dame N'Doye,Right
Alex Teixeira,Right
James McCarthy,Right
Nicolas Nkoulou,Right
Iborra,Right
Guaita,Right
Kamil Glik,Right
Illarramendi,Right
Eduardo Salvio,Right
Alex Sandro,Left
Javier Pastore,Right
Ander Herrera,Right
Keylor Navas,Right
Victor Ruiz~Víctor Ruíz,Left
Remy Cabella~Rémy Cabella,Right
Phil Jones,Right
Dejan Lovren,Right
Grzegorz Krychowiak,Right
Ibai Gomez~Ibai Gómez,Right
Jasper Cillessen,Right
Kevin Volland,Left
Marcos Rojo,Left
Deulofeu,Right
Carvajal,Right
Joao Pereira~João Pereira,Right
Sergio Garcia~Sergio García,Right
Obafemi Martins,Left
Dennis Aogo,Left
Papiss Demba Cisse~Papiss Demba Cissé,Right
Luiz Adriano,Right
Patrick Herrmann,Right
Carlos Tevez~Carlos Tévez,Right
Semih Senturk~Semih Sentürk,Right
Nicklas Bendtner,Right
Shane Long,Right
Alexandre Song,Right
Daryl Janmaat,Right
Luca Siligardi,Left
Giacomo Bonaventura,Right
Sandro,Right
Daley Blind,Left
Arturo Vidal,Right
Toni Kroos,Right
Wesley Sneijder,Right
Marek Hamsik~Marek Hamšik,Right
Garath McCleary,Right
Miralem Pjanic~Miralem Pjanic,Right
Moestafa El Kabir,Right
Marcelo Sarvas,Right
Sebastien Frey,Right
Martin Stranzl,Right
Sebastian Kehl,Left
Brad Friedel,Right
Joaquin~Joaquín,Right
Franco Arizala,Right
Moya~Moyá,Right
Iraizoz,Right
Ruben Castro~Rubén Castro,Right
Kolo Toure~Kolo Touré,Right
Antonio Di Natale,Right
Simon Rolfes,Left
Leandro Paredes,Right
Esteban Cambiasso,Left
Zakaria Bakkali,Right
Antonio Mirante,Right
Emir Spahic~Emir Spahic,Left
Diego Milito,Right
German Denis~Germán Denis,Right
Egemen Korkmaz,Left
Ikechukwu Uche,Right
Mikel Rico,Right
Javi Fuego,Right
Roman Shirokov,Right
Ashley Young,Right
Alexandr Samedov,Right
Aiden McGeady,Right
Benoit Costil~Benoît Costil,Right
Aaron Hunt,Left
Christian Gentner,Left
Ari,Right
